Model,Manufacturer,Pollution_CO2_g_per_pax_km,Passenger_Capacity,Units_Manufactured,Manufacturing_Country,Country_of_Origin,Year_First_Made,Range_km,Wingspan_m,Engine_Count,Engine_Type,Max_Speed_kph,Length_m,Height_m
MJ246,Mitsubishi,177.96,433,84,Japan,Japan,2014,5433,79.36,4,Turbofan,940,60.27,10.39
A785,Airbus,237.87,402,661,France,France,1961,13021,76.45,2,Turbojet,933,59.13,17.92
EM208,Embraer,129.82,702,894,Brazil,Brazil,2013,10598,49.16,2,Turbojet,825,33.05,9.96
C281,Comac,116.17,301,241,China,China,1992,12492,27.14,2,Turbofan,803,32.32,7.37
TU119,Tupolev,63.4,279,1137,Russia,Russia,1989,3581,67.68,4,Turbojet,811,57.97,14.87
MJ815,Mitsubishi,162.02,264,1276,Japan,Japan,1975,4754,25.85,2,Turbojet,920,39.12,7.86
A962,Airbus,392.7,159,1525,France,France,1977,3316,59.52,4,Turboprop,816,64.58,6.99
MJ473,Mitsubishi,186.73,343,1816,Japan,Japan,1971,3664,76.21,2,Turboprop,941,40.3,13.44
EM720,Embraer,129.02,449,596,Brazil,Brazil,1974,8022,65.04,2,Turbofan,826,63.36,15.5
MJ556,Mitsubishi,99.39,159,1809,Japan,Japan,2008,4020,39.37,4,Turbofan,896,68.91,21.28
TU747,Tupolev,406.14,218,936,Russia,Russia,2014,3731,71.61,2,Turbojet,862,61.09,21.58
A433,Airbus,452.06,539,1298,France,France,1975,11119,32.72,4,Turbofan,901,50.78,9.95
A743,Airbus,473.28,654,1823,France,France,1987,2092,72.88,2,Turbofan,969,67.76,21.9
EM394,Embraer,476.48,650,1545,Brazil,Brazil,2020,4856,56.68,2,Turboprop,837,51.01,13.47
EM538,Embraer,356.59,690,1896,Brazil,Brazil,1968,3959,74.06,2,Turbofan,837,40.05,19.5
TU269,Tupolev,91.53,521,1100,Russia,Russia,2015,4382,38.19,4,Turbofan,950,63.86,16.0
EM739,Embraer,190.84,748,257,Brazil,Brazil,1990,11293,57.78,2,Turboprop,967,34.94,12.86
MJ165,Mitsubishi,290.25,376,294,Japan,Japan,2001,4743,51.76,2,Turbofan,820,71.92,20.47
MJ712,Mitsubishi,76.69,398,640,Japan,Japan,1991,10482,78.29,2,Turbofan,925,34.88,11.91
TU248,Tupolev,217.14,98,89,Russia,Russia,2002,13994,69.88,2,Turbofan,984,53.7,10.56
C800,Comac,54.23,70,499,China,China,2005,5218,75.52,4,Turboprop,972,48.73,20.51
TU685,Tupolev,445.88,232,918,Russia,Russia,1973,9863,35.93,4,Turbofan,801,53.5,13.55
C123,Comac,373.15,388,360,China,China,1961,14089,36.08,2,Turbojet,982,58.8,14.41
BD657,Bombardier,120.65,273,80,Canada,Canada,1994,5361,65.91,4,Turbofan,910,48.65,17.25
EM501,Embraer,337.41,451,1383,Brazil,Brazil,1952,2723,61.81,2,Turboprop,926,57.44,23.14
BD916,Bombardier,267.63,834,467,Canada,Canada,1969,9431,60.69,4,Turbofan,974,26.43,21.2
EM587,Embraer,448.43,405,595,Brazil,Brazil,1999,2452,55.47,2,Turbofan,921,35.22,10.28
B697,Boeing,178.82,286,1278,USA,USA,1980,6664,60.55,2,Turboprop,894,50.25,23.59
A669,Airbus,254.52,535,1717,France,France,1993,10096,66.66,4,Turbojet,921,58.39,10.04
A351,Airbus,55.53,510,1455,France,France,1957,1731,26.61,4,Turboprop,867,40.58,11.19
B109,Boeing,348.78,390,886,USA,USA,1993,12648,54.32,2,Turboprop,834,55.37,14.87
A717,Airbus,428.4,132,753,France,France,1963,1979,45.66,2,Turbojet,898,34.41,14.09
MJ711,Mitsubishi,251.48,94,279,Japan,Japan,1973,9872,23.1,4,Turboprop,940,66.69,23.6
C100,Comac,338.92,267,1088,China,China,1955,3870,26.4,2,Turbofan,866,61.67,18.24
BD407,Bombardier,402.84,60,741,Canada,Canada,1984,12521,45.46,4,Turboprop,936,42.54,20.0
B607,Boeing,397.63,539,563,USA,USA,1977,7221,73.62,4,Turboprop,921,69.73,20.13
BD486,Bombardier,161.5,94,1456,Canada,Canada,2009,1654,54.6,2,Turboprop,952,73.93,20.39
A158,Airbus,104.23,571,1456,France,France,1998,8660,48.25,2,Turbojet,922,40.35,8.32
MJ268,Mitsubishi,83.79,623,1579,Japan,Japan,2013,10210,43.47,2,Turboprop,978,43.9,8.8
B912,Boeing,433.7,458,348,USA,USA,2005,12056,69.3,2,Turboprop,910,73.76,16.78
MJ523,Mitsubishi,290.37,734,250,Japan,Japan,1965,13790,40.72,4,Turboprop,880,71.95,16.76
TU822,Tupolev,340.61,114,505,Russia,Russia,1950,12342,63.43,4,Turboprop,849,34.98,15.86
C364,Comac,437.14,671,106,China,China,1965,10420,23.52,2,Turbojet,827,52.59,15.0
EM531,Embraer,259.24,166,1009,Brazil,Brazil,1954,8467,32.78,2,Turbofan,870,37.18,20.44
TU150,Tupolev,453.08,611,1864,Russia,Russia,1959,7064,45.57,2,Turbojet,807,35.1,10.45
TU344,Tupolev,210.39,837,1159,Russia,Russia,1981,12691,61.23,4,Turbojet,883,41.63,13.19
A802,Airbus,213.05,356,299,France,France,1995,9384,41.33,4,Turbojet,969,51.93,12.33
TU388,Tupolev,422.29,649,1974,Russia,Russia,1978,2547,35.74,2,Turbofan,970,73.64,17.75
EM322,Embraer,316.11,194,1748,Brazil,Brazil,1968,11141,59.13,4,Turbojet,809,62.04,23.23
B805,Boeing,286.72,585,597,USA,USA,1973,13279,68.54,4,Turbofan,817,52.97,13.21
A838,Airbus,62.98,491,994,France,France,2000,12996,45.6,2,Turbofan,890,55.53,9.3
C754,Comac,298.15,791,580,China,China,1992,6399,65.96,4,Turbofan,949,62.85,6.91
MJ518,Mitsubishi,169.93,172,1503,Japan,Japan,1994,14879,79.02,2,Turbofan,806,32.87,13.93
B511,Boeing,290.67,802,1729,USA,USA,2003,2167,38.91,2,Turbofan,801,46.35,18.08
BD204,Bombardier,485.51,212,93,Canada,Canada,1956,14835,31.73,4,Turbofan,806,71.54,22.15
BD427,Bombardier,306.07,111,1554,Canada,Canada,1985,11270,47.51,4,Turbojet,873,52.07,8.42
A466,Airbus,392.14,796,31,France,France,1957,12454,50.74,4,Turbojet,816,43.73,13.24
B884,Boeing,313.35,421,47,USA,USA,1991,7336,56.36,4,Turboprop,841,25.37,21.67
TU162,Tupolev,139.91,137,918,Russia,Russia,1995,4286,68.94,4,Turboprop,900,37.89,10.23
EM914,Embraer,193.69,587,1126,Brazil,Brazil,1953,1625,74.22,2,Turbofan,938,46.09,10.94
A162,Airbus,124.76,588,969,France,France,2015,7262,66.69,2,Turboprop,953,51.95,16.18
MJ674,Mitsubishi,499.98,472,612,Japan,Japan,1990,4250,45.58,4,Turboprop,995,68.76,17.12
B646,Boeing,81.84,377,653,USA,USA,1983,2314,53.3,4,Turboprop,801,73.91,16.54
A829,Airbus,136.95,75,1938,France,France,2013,4659,37.42,2,Turbojet,933,44.72,19.26
B137,Boeing,361.73,423,1624,USA,USA,1956,2339,72.68,2,Turbojet,999,60.3,22.29
C132,Comac,67.47,527,1157,China,China,1971,5507,46.96,2,Turboprop,917,37.03,23.01
EM116,Embraer,458.2,162,443,Brazil,Brazil,1972,4688,21.92,4,Turbojet,831,33.98,7.39
MJ173,Mitsubishi,267.51,326,1061,Japan,Japan,2010,5910,36.3,4,Turboprop,965,65.73,12.97
A353,Airbus,259.92,385,1648,France,France,1962,14678,66.6,2,Turbojet,812,74.53,9.9
BD365,Bombardier,482.18,614,1348,Canada,Canada,1987,13610,32.37,2,Turbofan,829,44.26,19.6
A608,Airbus,211.2,431,1537,France,France,1985,7976,49.54,4,Turbojet,924,48.8,23.43
A663,Airbus,376.23,78,1202,France,France,2005,13069,40.64,2,Turbofan,822,37.25,23.83
B869,Boeing,213.81,325,1147,USA,USA,2017,8771,28.68,2,Turbofan,891,51.1,14.45
TU788,Tupolev,86.8,480,971,Russia,Russia,1954,4530,49.83,2,Turbojet,844,65.28,9.06
TU800,Tupolev,473.26,410,1086,Russia,Russia,1967,3978,47.17,2,Turboprop,825,70.57,16.7
EM556,Embraer,129.12,796,618,Brazil,Brazil,1981,6758,73.16,2,Turbojet,943,26.81,18.65
A837,Airbus,60.46,642,1018,France,France,1970,8753,36.84,2,Turbofan,942,68.82,15.46
C969,Comac,464.7,261,1345,China,China,1995,3091,62.99,4,Turbofan,946,25.47,15.88
TU139,Tupolev,441.77,253,1656,Russia,Russia,1985,11868,55.23,2,Turboprop,982,62.21,15.12
BD123,Bombardier,221.69,489,1097,Canada,Canada,1976,14512,28.63,2,Turbojet,949,40.35,6.5
TU849,Tupolev,73.57,818,1854,Russia,Russia,1977,11256,57.71,4,Turboprop,830,72.84,14.16
EM181,Embraer,134.24,803,557,Brazil,Brazil,2001,9053,45.44,4,Turboprop,919,30.47,12.17
B968,Boeing,291.54,640,913,USA,USA,1960,3747,28.71,4,Turbojet,918,53.32,10.97
C116,Comac,82.79,202,1828,China,China,1966,4334,73.79,4,Turbofan,936,46.52,8.66
A757,Airbus,400.15,604,600,France,France,2006,7406,58.56,2,Turbojet,888,60.41,14.93
EM936,Embraer,269.92,747,983,Brazil,Brazil,2003,13584,22.09,2,Turbojet,858,44.34,8.71
B752,Boeing,471.4,518,1974,USA,USA,1951,11499,22.47,2,Turbofan,941,33.05,11.35
TU900,Tupolev,322.39,363,1433,Russia,Russia,1992,12931,75.83,4,Turboprop,815,74.94,18.5
B454,Boeing,400.7,846,226,USA,USA,1959,3179,57.27,4,Turboprop,844,32.71,19.65
MJ396,Mitsubishi,172.53,784,479,Japan,Japan,1950,9534,48.79,2,Turbojet,901,68.49,15.59
EM169,Embraer,431.13,688,752,Brazil,Brazil,1954,12850,63.24,2,Turbofan,949,30.55,15.36
TU920,Tupolev,452.79,507,19,Russia,Russia,1991,4919,42.41,4,Turbojet,918,45.35,20.93
A575,Airbus,358.46,150,527,France,France,2004,2440,67.49,4,Turbofan,942,32.23,19.92
BD366,Bombardier,253.79,794,1703,Canada,Canada,2009,2696,75.96,2,Turbofan,868,59.69,17.01
C276,Comac,212.85,464,812,China,China,2010,6365,41.31,4,Turboprop,806,43.22,15.29
MJ299,Mitsubishi,196.17,756,1957,Japan,Japan,1950,8004,27.35,4,Turbofan,880,41.88,16.0
MJ137,Mitsubishi,170.95,736,960,Japan,Japan,1998,14303,53.99,4,Turbojet,884,35.36,7.08
A235,Airbus,110.75,628,1258,France,France,2014,7385,52.64,2,Turboprop,876,65.81,9.22
BD947,Bombardier,222.86,511,916,Canada,Canada,2012,3046,57.77,2,Turbofan,825,28.52,20.0
EM482,Embraer,113.91,727,1552,Brazil,Brazil,2009,5829,51.01,2,Turboprop,983,60.49,7.05
TU458,Tupolev,282.95,354,795,Russia,Russia,1965,13493,28.48,2,Turboprop,981,53.23,8.12
TU990,Tupolev,186.81,437,1621,Russia,Russia,1962,2252,63.27,2,Turboprop,938,49.34,20.18
C620,Comac,116.2,120,1289,China,China,1982,12859,33.83,2,Turboprop,847,47.96,22.45
MJ927,Mitsubishi,226.16,776,1677,Japan,Japan,1988,2124,51.44,2,Turboprop,817,50.83,14.57
EM259,Embraer,249.21,585,104,Brazil,Brazil,2015,9072,70.08,4,Turbojet,827,42.59,11.78
B712,Boeing,135.48,528,1374,USA,USA,1986,6094,34.96,4,Turbofan,911,68.46,23.6
MJ549,Mitsubishi,229.75,546,1461,Japan,Japan,1999,3588,78.64,2,Turbojet,957,67.6,16.75
BD908,Bombardier,273.31,735,118,Canada,Canada,1968,13247,40.54,4,Turbofan,831,54.6,7.4
BD424,Bombardier,417.34,706,303,Canada,Canada,1974,3136,65.62,2,Turboprop,945,68.05,6.32
EM730,Embraer,240.86,773,55,Brazil,Brazil,1994,13424,32.6,4,Turboprop,928,72.33,9.6
BD180,Bombardier,73.4,791,1656,Canada,Canada,2012,11050,22.36,4,Turbojet,808,63.77,22.97
C187,Comac,327.75,378,389,China,China,1996,13890,49.73,2,Turbojet,1000,69.15,20.23
A334,Airbus,152.75,701,1631,France,France,1967,10383,53.61,2,Turboprop,914,34.88,18.37
A133,Airbus,341.44,680,160,France,France,1988,8312,76.69,2,Turbofan,889,25.75,18.37
TU203,Tupolev,52.04,263,1760,Russia,Russia,2015,9768,46.69,2,Turboprop,850,38.85,21.59
BD976,Bombardier,297.31,736,1589,Canada,Canada,1986,11950,21.57,4,Turbojet,892,60.46,17.47
A932,Airbus,151.63,261,715,France,France,1973,2795,62.39,4,Turbojet,973,51.61,22.36
B221,Boeing,282.9,228,399,USA,USA,2015,13415,78.26,2,Turbofan,944,28.53,12.36
A477,Airbus,490.17,640,982,France,France,1973,7585,32.45,2,Turboprop,817,61.51,9.44
C830,Comac,476.18,115,596,China,China,1955,7597,26.91,4,Turbofan,982,59.16,17.69
MJ100,Mitsubishi,235.37,699,1799,Japan,Japan,2016,2368,67.88,4,Turbofan,905,27.98,6.2
C127,Comac,130.01,668,12,China,China,1950,8198,61.46,2,Turbojet,877,41.71,13.33
C648,Comac,402.24,840,1920,China,China,1959,9173,27.72,4,Turboprop,876,70.65,9.3
A906,Airbus,310.34,203,1881,France,France,1956,7604,74.69,4,Turbofan,836,62.58,11.73
C853,Comac,63.61,560,718,China,China,2002,2395,66.95,4,Turbojet,848,55.1,10.58
BD587,Bombardier,415.3,803,451,Canada,Canada,1977,10970,21.45,2,Turboprop,864,67.12,12.94
MJ224,Mitsubishi,108.67,96,1786,Japan,Japan,1982,13810,54.1,2,Turbofan,994,70.03,18.9
A107,Airbus,382.07,350,99,France,France,1975,3945,33.62,2,Turbojet,984,40.6,23.89
TU646,Tupolev,385.13,214,1491,Russia,Russia,2004,12807,72.76,4,Turbofan,846,69.83,14.84
TU888,Tupolev,298.11,483,176,Russia,Russia,1995,2676,54.0,2,Turbofan,851,51.81,9.4
TU340,Tupolev,422.54,417,827,Russia,Russia,1954,6413,52.01,2,Turboprop,920,41.29,10.68
EM847,Embraer,137.56,370,393,Brazil,Brazil,1993,11367,61.51,2,Turboprop,814,36.52,11.78
C385,Comac,358.73,792,1877,China,China,1994,7071,68.18,2,Turboprop,999,56.77,17.18
TU172,Tupolev,319.17,142,1436,Russia,Russia,1977,14056,38.09,4,Turbojet,854,58.64,6.3
B755,Boeing,107.4,709,601,USA,USA,1973,1777,38.5,4,Turbofan,860,40.52,15.23
MJ222,Mitsubishi,248.75,131,131,Japan,Japan,1979,5886,78.44,4,Turboprop,842,72.23,19.65
EM994,Embraer,424.91,429,1112,Brazil,Brazil,1987,9938,28.07,2,Turboprop,817,67.97,21.73
TU130,Tupolev,117.55,787,1509,Russia,Russia,1998,14214,71.42,4,Turbojet,853,44.56,13.24
TU360,Tupolev,63.49,710,1726,Russia,Russia,1986,4702,65.84,2,Turbofan,967,27.96,18.82
TU435,Tupolev,193.92,553,1710,Russia,Russia,1995,8746,59.58,2,Turbofan,996,73.55,11.56
C663,Comac,355.24,587,707,China,China,1997,12525,55.31,2,Turboprop,881,73.45,20.54
EM897,Embraer,173.85,184,261,Brazil,Brazil,1960,3200,41.78,2,Turbojet,966,65.14,8.9
EM941,Embraer,338.5,177,1904,Brazil,Brazil,1978,12525,40.02,4,Turbojet,940,65.23,18.59
EM969,Embraer,174.72,383,1213,Brazil,Brazil,2002,8057,78.26,4,Turbojet,801,66.14,20.91
B545,Boeing,321.17,483,1611,USA,USA,1959,12126,21.73,4,Turboprop,940,44.95,6.24
TU182,Tupolev,394.55,692,590,Russia,Russia,2019,10156,43.58,4,Turbojet,919,64.12,9.91
EM428,Embraer,222.08,476,466,Brazil,Brazil,1996,8965,42.32,4,Turbofan,816,68.13,21.38
TU192,Tupolev,57.73,267,480,Russia,Russia,1970,2026,26.78,4,Turbojet,864,48.86,11.56
MJ360,Mitsubishi,83.11,129,1925,Japan,Japan,2009,5147,51.22,2,Turbojet,975,71.41,14.79
EM449,Embraer,229.13,690,1553,Brazil,Brazil,1978,7312,46.9,4,Turbojet,858,37.35,14.56
BD140,Bombardier,279.56,328,205,Canada,Canada,2015,1757,24.27,2,Turbofan,836,65.05,20.04
TU269,Tupolev,149.38,650,1946,Russia,Russia,1974,9819,26.12,4,Turbojet,965,64.62,11.24
BD315,Bombardier,376.81,122,1156,Canada,Canada,2005,2649,25.96,4,Turbofan,941,31.1,6.48
A364,Airbus,242.28,112,335,France,France,2010,7779,26.14,2,Turbojet,915,50.05,8.48
BD806,Bombardier,235.73,231,1937,Canada,Canada,2015,11006,43.46,4,Turbojet,971,25.41,10.52
BD618,Bombardier,113.61,375,1690,Canada,Canada,1952,3627,27.58,4,Turbojet,824,52.75,19.7
C455,Comac,495.86,367,1207,China,China,2006,6003,75.02,4,Turboprop,946,74.75,17.6
TU949,Tupolev,408.29,726,1403,Russia,Russia,1961,2034,55.22,2,Turboprop,845,46.47,17.41
TU459,Tupolev,173.41,374,149,Russia,Russia,2013,8610,43.16,4,Turbofan,841,34.54,8.59
BD688,Bombardier,337.68,295,705,Canada,Canada,1961,3274,54.28,4,Turbojet,964,63.99,22.89
C651,Comac,113.05,802,912,China,China,1979,3210,73.68,4,Turbofan,897,30.56,8.36
B555,Boeing,468.02,722,1202,USA,USA,1961,5340,34.03,4,Turbofan,987,29.11,17.3
B114,Boeing,156.66,476,312,USA,USA,1978,4961,59.26,4,Turboprop,988,32.74,7.92
TU992,Tupolev,314.05,513,429,Russia,Russia,1991,1983,76.17,4,Turboprop,878,50.74,11.5
B711,Boeing,195.12,618,76,USA,USA,1982,6797,31.09,2,Turbofan,917,50.83,16.18
C131,Comac,169.59,356,933,China,China,1986,14569,59.49,2,Turboprop,875,54.06,16.97
TU515,Tupolev,471.86,677,1653,Russia,Russia,2005,10891,32.19,2,Turboprop,809,67.65,16.17
C778,Comac,313.38,573,165,China,China,2008,9275,37.37,2,Turboprop,830,60.75,21.0
MJ862,Mitsubishi,56.04,318,80,Japan,Japan,1996,7396,22.19,2,Turbofan,842,72.13,20.56
B500,Boeing,277.89,847,1832,USA,USA,2013,9555,28.48,2,Turbofan,898,74.27,7.03
MJ562,Mitsubishi,110.1,802,1022,Japan,Japan,1996,13877,52.96,4,Turbojet,872,29.09,21.11
TU278,Tupolev,134.2,261,213,Russia,Russia,1982,1962,37.91,2,Turbofan,859,58.52,10.98
BD597,Bombardier,384.96,527,1841,Canada,Canada,1963,3285,39.29,2,Turbojet,912,26.27,8.57
A669,Airbus,274.58,76,568,France,France,1972,8784,31.95,4,Turbofan,864,42.22,23.98
BD836,Bombardier,90.11,759,1313,Canada,Canada,1978,5878,66.0,4,Turbofan,805,68.21,11.56
BD339,Bombardier,73.21,144,1502,Canada,Canada,2000,14122,72.03,2,Turbofan,891,73.7,10.61
A415,Airbus,52.49,772,1609,France,France,1952,5511,79.98,2,Turbojet,958,61.56,13.16
EM488,Embraer,386.35,772,243,Brazil,Brazil,1973,12742,51.34,2,Turbojet,821,49.34,19.21
MJ904,Mitsubishi,207.12,89,1962,Japan,Japan,2008,3701,65.08,2,Turbofan,855,38.51,22.54
C255,Comac,62.31,544,974,China,China,1995,10866,22.33,2,Turboprop,811,59.32,8.97
C962,Comac,285.78,563,871,China,China,1951,3691,41.27,4,Turboprop,857,45.12,9.22
EM933,Embraer,418.96,401,691,Brazil,Brazil,2002,5827,70.84,2,Turbofan,822,60.48,20.18
BD300,Bombardier,51.58,532,1525,Canada,Canada,1983,5156,51.99,2,Turboprop,803,64.7,12.16
MJ973,Mitsubishi,196.19,523,296,Japan,Japan,1961,14233,58.56,4,Turbofan,956,30.53,6.66
TU358,Tupolev,279.55,550,37,Russia,Russia,2006,6530,69.22,4,Turbofan,861,49.72,6.24
MJ179,Mitsubishi,98.36,714,717,Japan,Japan,1999,3503,55.4,2,Turbojet,936,35.39,14.9
TU296,Tupolev,363.22,281,97,Russia,Russia,1990,11371,24.59,4,Turboprop,927,68.84,9.51
MJ375,Mitsubishi,183.04,511,424,Japan,Japan,2013,6357,23.82,2,Turbofan,949,49.33,9.17
B377,Boeing,495.19,229,727,USA,USA,2008,10947,79.9,2,Turbofan,853,70.46,20.97
EM902,Embraer,475.65,552,1727,Brazil,Brazil,2000,6309,31.47,4,Turbojet,825,50.44,20.27
MJ532,Mitsubishi,260.32,429,1054,Japan,Japan,1956,6372,69.8,4,Turboprop,849,44.23,8.29
TU892,Tupolev,127.44,247,268,Russia,Russia,1958,9364,78.88,2,Turbojet,904,54.26,21.54
TU262,Tupolev,175.69,702,773,Russia,Russia,1990,7288,77.75,2,Turbojet,817,59.75,18.75
MJ428,Mitsubishi,189.12,774,925,Japan,Japan,2005,2568,54.57,2,Turboprop,886,67.12,8.91
MJ240,Mitsubishi,316.13,693,1459,Japan,Japan,1953,8738,58.12,4,Turboprop,976,56.69,14.54
EM837,Embraer,165.99,704,1767,Brazil,Brazil,2011,3634,22.41,4,Turbofan,932,35.93,15.91
C341,Comac,414.28,372,1200,China,China,1964,9979,34.11,4,Turboprop,958,65.16,15.35
